epoch,test_acc,train_acc,test_clik,train_clik,test_plik,train_plik,accept_prob
1,0.93701171875,0.9383089539007092,-0.021396302,-0.021609103,-2511.8675244297947,-3594.450654312607,0.9702127659574468
2,0.95703125,0.9586546985815603,-0.01475074,-0.014201082,-2448.1990562580772,-3152.756597151632,1.0
3,0.966015625,0.9706061613475176,-0.011459813,-0.010072137,-2415.8845564741805,-2905.6146666426375,1.0
4,0.97001953125,0.9775321365248227,-0.009661484,-0.0075372118,-2397.415109574116,-2753.0329684608346,1.0
5,0.97333984375,0.982319370567376,-0.008540794,-0.0058081155,-2387.201277152627,-2650.2802719036035,1.0
6,0.97568359375,0.986225620567376,-0.007891209,-0.0046185316,-2382.1095894541104,-2580.3094109262784,1.0
7,0.97724609375,0.9891179078014185,-0.0072324504,-0.0035074588,-2375.9123167764287,-2514.035340763245,1.0
8,0.97861328125,0.9925753546099291,-0.0068481276,-0.002553326,-2374.4047753878494,-2459.1230676241776,1.0
9,0.97998046875,0.9949468085106383,-0.006679847,-0.001842259,-2372.1506729578145,-2415.887741134084,1.0
10,0.98046875,0.995345744680851,-0.0069905943,-0.0015993419,-2374.763653654112,-2400.8182190837997,0.9957446808510638
11,0.9796875,0.9936170212765958,-0.0080032395,-0.0018959299,-2386.2724124565293,-2419.9958163871934,1.0
12,0.9796875,0.9948470744680851,-0.007913016,-0.0015877149,-2385.69297771381,-2401.8257139198645,1.0
13,0.97578125,0.9913065159574468,-0.0096809855,-0.002521087,-2405.1560678104256,-2459.6114282230233,1.0
14,0.980859375,0.9959109042553191,-0.008096131,-0.0012318856,-2389.9235095147196,-2382.875345147044,1.0
15,0.9779296875,0.9941655585106383,-0.009297443,-0.001678174,-2402.303714428766,-2410.019725476129,1.0
16,0.97978515625,0.9961436170212766,-0.008618913,-0.0010920404,-2395.7330813950957,-2375.0663867539824,0.9914893617021276
17,0.98232421875,0.9987367021276595,-0.0073831533,-0.00043890162,-2382.2071405848037,-2334.7097021540176,0.9702127659574468
18,0.98232421875,0.9991023936170212,-0.0074250153,-0.0003166778,-2384.727265105178,-2329.477780089309,0.9617021276595744
19,0.98076171875,0.997406914893617,-0.008571835,-0.00074786006,-2396.7143979601324,-2355.8676496080816,0.9787234042553191
20,0.9841796875,0.9990691489361702,-0.008197015,-0.00033244182,-2395.7970186427738,-2333.773373241773,0.9787234042553191
21,0.9822265625,0.9992686170212766,-0.008593487,-0.00026364534,-2397.37777465856,-2327.2616276172394,0.9914893617021276
22,0.9818359375,0.9985039893617021,-0.008146883,-0.00046026855,-2392.70854590166,-2338.8558332704342,0.9872340425531915
23,0.98330078125,0.9996010638297872,-0.0077342005,-0.0001648552,-2387.6449001098686,-2320.194208886724,0.9829787234042553
24,0.98408203125,0.9990691489361702,-0.0076678013,-0.00028303976,-2386.93380275222,-2327.238171724998,0.9787234042553191
