epoch,test_acc,train_acc,test_clik,train_clik,test_plik,train_plik,accept_prob
1,0.676953125,0.6770279255319149,-0.0969367,-0.097946614,3825.853420353462,-1081.576450252007,0.9446808510638298
2,0.8068359375,0.7998781028368794,-0.06230206,-0.0636932,4172.113466552199,973.5418112787611,0.8680851063829788
3,0.83818359375,0.8302360372340426,-0.055193428,-0.05621821,4243.232724316419,1422.0744601562628,0.8553191489361702
4,0.85185546875,0.8495345744680851,-0.05031744,-0.051034465,4291.782609145224,1732.8891460104587,0.8723404255319149
5,0.8638671875,0.8634253102836879,-0.04619052,-0.046672978,4333.154692817383,1994.6812125927736,0.8936170212765957
6,0.8763671875,0.8748559397163121,-0.04239872,-0.04266544,4371.0584774195195,2235.11917688241,0.8808510638297873
7,0.88623046875,0.8865857712765958,-0.038577106,-0.038630243,4409.395849425462,2477.3522092887433,0.8851063829787233
8,0.8986328125,0.8977892287234043,-0.03465845,-0.03448636,4448.4856144287605,2725.8884769775887,0.851063829787234
9,0.91044921875,0.9094747340425532,-0.031155113,-0.030767566,4483.5672880248985,2949.064449890133,0.8765957446808511
10,0.91904296875,0.9176030585106383,-0.028423507,-0.027878743,4510.741952802318,3122.252420331615,0.851063829787234
11,0.92392578125,0.9246176861702128,-0.026293904,-0.025627498,4532.226110560167,3257.5152340953236,0.8808510638297873
12,0.9302734375,0.9301917109929079,-0.024535356,-0.023758354,4549.9084870083925,3369.7608277066347,0.8893617021276595
13,0.93515625,0.9356050531914893,-0.023040824,-0.022148563,4564.934162994578,3466.428700348094,0.8468085106382979
14,0.93837890625,0.9395113031914893,-0.021751083,-0.02073448,4577.625217421875,3551.067325576172,0.902127659574468
15,0.9408203125,0.9429355053191489,-0.020613816,-0.019469086,4588.997898085938,3626.990909560547,0.825531914893617
16,0.94384765625,0.9463098404255319,-0.019608201,-0.018333158,4599.230345125562,3695.322859163648,0.9063829787234042
17,0.94716796875,0.9493406471631206,-0.018686233,-0.017273575,4608.496816416057,3758.9446008398854,0.8851063829787233
18,0.9501953125,0.9520002216312057,-0.017868977,-0.016306182,4616.668017003292,3816.986818883175,0.8382978723404255
19,0.95283203125,0.9545268173758865,-0.017142054,-0.015420851,4623.952501677104,3870.121935270854,0.8425531914893617
20,0.95380859375,0.9572030141843972,-0.016475974,-0.01459866,4630.424121909987,3919.26424031819,0.8680851063829788
21,0.9552734375,0.9595633865248228,-0.01586887,-0.0138410665,4636.6046391763,3964.8293553628237,0.825531914893617
22,0.957421875,0.9620234929078014,-0.015312204,-0.013133647,4642.06073829654,4007.163979263337,0.8851063829787233
23,0.9583984375,0.9640181737588653,-0.014806046,-0.012481746,4647.199857164255,4046.355527330271,0.8382978723404255
24,0.95966796875,0.9658133865248227,-0.0143302865,-0.011865579,4651.9409914745465,4083.3091707958356,0.8297872340425532
25,0.96123046875,0.9676418439716312,-0.013899931,-0.011287985,4656.162877383888,4117.883076968849,0.851063829787234
26,0.96298828125,0.9692154255319149,-0.013491147,-0.010750557,4660.051896179804,4149.929917420039,0.8553191489361702
27,0.9634765625,0.9707613031914893,-0.0131225595,-0.010245143,4663.737632540674,4180.254615572901,0.8468085106382979
28,0.96396484375,0.9725011081560283,-0.012781441,-0.009773129,4667.148818758936,4208.575538424463,0.8212765957446808
29,0.9646484375,0.9739527925531914,-0.012455948,-0.00931888,4670.32657263767,4235.753238897436,0.8297872340425532
30,0.9654296875,0.9751828457446808,-0.012144192,-0.008883616,4673.342237324948,4261.767186970944,0.8808510638297873
31,0.96650390625,0.9763796542553191,-0.01185852,-0.008482253,4676.375009353837,4286.025026138505,0.8808510638297873
32,0.9671875,0.9775432180851064,-0.01158979,-0.008091733,4679.06231098958,4309.456239517412,0.8808510638297873
33,0.9677734375,0.9784740691489362,-0.011333062,-0.0077158343,4681.629586990556,4332.01013356038,0.7914893617021277
34,0.968359375,0.9795212765957447,-0.011086914,-0.0073530427,4684.091066177568,4353.777650650224,0.8127659574468085
35,0.96923828125,0.9806515957446809,-0.010859619,-0.0070039853,4686.491888451291,4374.848944115353,0.8212765957446808
36,0.969921875,0.9815824468085106,-0.010658086,-0.006677367,4688.552272653168,4394.491138314789,0.8978723404255319
37,0.9703125,0.9825132978723404,-0.010457239,-0.006356229,4690.586816333678,4413.785455249694,0.8893617021276595
38,0.97041015625,0.9834275265957447,-0.010281525,-0.0060550254,4692.343957446959,4431.857690357116,0.8808510638297873
