epoch,test_acc,train_acc,test_clik,train_clik,test_plik,train_plik
1,0.77880859375,0.7741965868794326,-0.06711149,-0.06818946,2605.2334783151537,-815.0190241262526
2,0.8451171875,0.8389018173758865,-0.052568574,-0.053354938,2595.4231910534827,-80.18722154417355
3,0.882421875,0.8844636524822695,-0.039551273,-0.039360646,2538.864321017988,572.7383749730661
4,0.90107421875,0.9025986258865248,-0.03366915,-0.033013806,2538.3278309597417,894.1909901394292
5,0.9123046875,0.9164339539007091,-0.029136801,-0.028269958,2547.2819492687227,1142.452450977707
6,0.92431640625,0.9283410904255319,-0.025451949,-0.024463994,2567.942360140635,1354.6221239345805
7,0.93466796875,0.9365525265957447,-0.022404484,-0.02133153,2596.4166373867574,1540.5696372646871
8,0.94072265625,0.9443484042553192,-0.019822482,-0.018654099,2624.048685033728,1703.0275363520873
9,0.94755859375,0.9507646276595745,-0.01767571,-0.01644101,2662.5326899741326,1852.8292292807732
10,0.95244140625,0.9566101507092198,-0.016012968,-0.014705652,2713.3299746781513,1991.1204867631122
11,0.9560546875,0.9608433067375887,-0.014702158,-0.013315816,2772.7008248837637,2120.773426202123
12,0.95947265625,0.9644669769503547,-0.013656378,-0.012168508,2835.208704510267,2241.662012615736
13,0.9625,0.9672872340425532,-0.01279288,-0.011171316,2899.2391446858837,2356.889008882661
14,0.96484375,0.9701296542553192,-0.012090418,-0.010308575,2962.6635380772323,2465.0532475498885
15,0.96669921875,0.9723404255319149,-0.011500837,-0.009541435,3025.4760514215222,2567.998336882948
16,0.96767578125,0.9745511968085107,-0.011030083,-0.008876388,3086.962842416166,2664.6804174894082
17,0.96884765625,0.9765126329787234,-0.010629191,-0.008290435,3147.8881685847355,2756.7539599055362
18,0.969921875,0.9780917553191489,-0.0102958605,-0.0077719237,3207.2866192937936,2843.929792511567
19,0.9703125,0.9794215425531915,-0.0100108115,-0.0072993464,3265.5951818317108,2927.7425130695037
20,0.9712890625,0.9806515957446809,-0.009770151,-0.006864371,3322.2880588169087,3008.127330362319
21,0.971484375,0.9816821808510638,-0.009549129,-0.006460211,3377.300307919204,3085.17895476979
22,0.972265625,0.9829122340425532,-0.009348593,-0.006078266,3430.3828684557866,3159.172838853736
23,0.9724609375,0.983876329787234,-0.009176177,-0.00572403,3481.1873460031466,3229.5073151803927
24,0.9728515625,0.9849567819148937,-0.009022719,-0.005393301,3530.1057872726306,3296.734930033861
25,0.97294921875,0.9860372340425532,-0.008898438,-0.0050835027,3577.07790074622,3361.052121022099
26,0.9736328125,0.986968085106383,-0.00878065,-0.0047887797,3622.2088812544157,3422.688594694357
27,0.97421875,0.9877327127659574,-0.008690449,-0.0045171403,3665.3545239744153,3481.2306073484388
28,0.97412109375,0.988530585106383,-0.008614297,-0.0042620823,3706.8426917291727,3537.2607291437234
29,0.974609375,0.9891622340425532,-0.008542214,-0.0040168697,3747.4850536682175,3591.8950115539596
30,0.97451171875,0.9898769946808511,-0.008486029,-0.0037835147,3786.6884297367446,3644.537840747487
31,0.9748046875,0.9906416223404255,-0.008443313,-0.003566685,3824.7363406959007,3695.168370420022
32,0.97509765625,0.9912400265957447,-0.008410458,-0.0033641055,3861.8841067123703,3744.142361717253
33,0.975390625,0.9918051861702127,-0.008379186,-0.0031697738,3898.0942888974296,3791.6997118710624
34,0.97578125,0.9923537234042553,-0.00836922,-0.002987781,3933.938001452113,3838.3633478266247
35,0.9755859375,0.9930684840425532,-0.008382833,-0.0028209898,3968.6177997355994,3883.186738944584
36,0.9755859375,0.9936668882978723,-0.008389007,-0.002663118,4003.5901965660846,3927.6931933922565
37,0.9751953125,0.9942154255319149,-0.008402937,-0.0025123176,4038.1015204894466,3971.3918342101497
38,0.97548828125,0.9945478723404255,-0.008427755,-0.0023683475,4072.3825985342046,4014.559302940943
39,0.97568359375,0.9949135638297872,-0.008450246,-0.0022348817,4107.015311198298,4057.42486472613
40,0.97587890625,0.9951961436170212,-0.008502041,-0.0021155956,4141.4753568643755,4099.560027884883
41,0.976171875,0.9954454787234043,-0.008543496,-0.0019938864,4176.232802517783,4142.034575589072
42,0.9759765625,0.9958277925531915,-0.008578114,-0.0018784429,4211.59382235206,4184.668392054208
43,0.97607421875,0.9961436170212766,-0.008611619,-0.0017675736,4247.067512270209,4227.129279848334
44,0.976171875,0.9964428191489362,-0.008664459,-0.0016649087,4282.5020330396,4269.252101704151
45,0.97587890625,0.9967752659574468,-0.008704871,-0.0015679548,4318.6792777859755,4311.650698074061
46,0.97578125,0.9969414893617021,-0.008745794,-0.001482764,4355.302734517735,4353.794830465001
47,0.97607421875,0.9972074468085106,-0.008782874,-0.0013890143,4392.071256072892,4396.5591329649815
48,0.97568359375,0.9973404255319149,-0.008837751,-0.0013130786,4428.8800800554045,4438.472876381088
49,0.9755859375,0.9975731382978723,-0.008896184,-0.0012411345,4466.201248874039,4480.695015658707
50,0.97578125,0.9977227393617021,-0.00893733,-0.0011731399,4504.130441900112,4523.115343328334
51,0.9759765625,0.9979222074468085,-0.008963247,-0.0011047474,4542.797194761972,4566.144820494394
52,0.976171875,0.9980219414893617,-0.008997658,-0.0010363912,4581.616165882018,4609.409275775817
53,0.9763671875,0.9981382978723404,-0.0090353405,-0.0009806927,4620.408095928457,4651.9199443781645
54,0.97626953125,0.9983211436170213,-0.009072501,-0.00092353945,4659.158392481058,4694.4710374395545
55,0.97666015625,0.9984042553191489,-0.009100887,-0.00086427806,4698.131830358535,4737.284021520644
56,0.976171875,0.9984707446808511,-0.009152674,-0.0008238738,4736.275078247009,4778.369392822205
57,0.976171875,0.9985704787234042,-0.009211257,-0.0007845916,4774.753825556767,4819.790900599492
