epoch,test_acc,train_acc,test_clik,train_clik,test_plik,train_plik,accept_prob
1,0.93564453125,0.9358266843971632,-0.021954838,-0.02207082,-2444.540175341867,-3549.240935229562,0.8553191489361702
2,0.9556640625,0.9585106382978723,-0.014818945,-0.014085362,-2373.2786294606854,-3070.210880437248,0.8468085106382979
3,0.9615234375,0.9682402482269504,-0.0120757315,-0.010704055,-2345.7668605821036,-2867.252891160717,0.8808510638297873
4,0.97001953125,0.9771830673758866,-0.009793218,-0.007679538,-2323.057885962229,-2685.8979814822487,0.8297872340425532
5,0.97548828125,0.9846077127659575,-0.008335497,-0.0055098445,-2308.7002332414027,-2555.9359281266566,0.851063829787234
6,0.97744140625,0.9878490691489362,-0.0076787435,-0.004263617,-2302.1466576842226,-2481.1762521056094,0.8936170212765957
7,0.97763671875,0.9901429521276596,-0.007394458,-0.003476233,-2299.366417991131,-2433.995812522381,0.9148936170212766
8,0.97744140625,0.9899268617021276,-0.0077466555,-0.0032350274,-2303.185021155764,-2419.8201072153342,0.8808510638297873
9,0.97568359375,0.9897273936170212,-0.008257815,-0.0032188566,-2308.251759205992,-2418.8050047504257,0.8638297872340426
10,0.9751953125,0.9911236702127659,-0.008500307,-0.0028077166,-2310.611259111305,-2394.071189531227,0.902127659574468
11,0.97451171875,0.9914727393617021,-0.009204272,-0.002601256,-2317.739263847179,-2381.7718871381944,0.9574468085106383
12,0.97490234375,0.9911402925531915,-0.009691737,-0.0027419494,-2322.6177690802974,-2390.217370825903,0.9148936170212766
13,0.9796875,0.996592420212766,-0.0077276225,-0.0011242976,-2302.969813412031,-2293.1514464076363,0.9063829787234042
14,0.9794921875,0.9966755319148937,-0.008205657,-0.0010640478,-2307.886074054937,-2289.6723708994195,0.9404255319148936
15,0.97744140625,0.99609375,-0.009786393,-0.0012355144,-2323.735653165681,-2300.002598050935,0.9531914893617022
16,0.97880859375,0.9972739361702128,-0.008986245,-0.0008597021,-2315.636334704732,-2277.3560116761673,0.948936170212766
17,0.98173828125,0.9979222074468085,-0.008423242,-0.0006150645,-2310.0533755422407,-2262.7248309255415,0.9872340425531915
18,0.9779296875,0.9979720744680851,-0.009792883,-0.00064065086,-2323.429618830114,-2263.9398384040887,0.9574468085106383
