epoch,test_acc,train_acc,test_clik,train_clik,test_plik,train_plik,accept_prob
1,0.93427734375,0.9362810283687942,-0.022303432,-0.022219062,-2430.5934616073446,-3540.7028213485555,0.8936170212765957
2,0.9568359375,0.9600343528368794,-0.014858097,-0.014034594,-2356.1409034944345,-3049.635623953419,0.8808510638297873
3,0.9677734375,0.9729886968085106,-0.010918592,-0.009489259,-2316.741105877656,-2776.9107149474803,0.8978723404255319
4,0.97177734375,0.9798260195035461,-0.009073347,-0.0069680223,-2298.2867371128214,-2625.6345993564737,0.8936170212765957
5,0.97509765625,0.9844304078014184,-0.008047651,-0.0053673065,-2288.012170053179,-2529.574052072222,0.902127659574468
6,0.97724609375,0.9876883865248227,-0.007463881,-0.004166751,-2282.177838635531,-2457.544095349398,0.8723404255319149
7,0.97890625,0.9904587765957447,-0.007172631,-0.0032888406,-2279.258808295062,-2404.862941901019,0.9148936170212766
8,0.9791015625,0.991904920212766,-0.0071358387,-0.0027030413,-2278.8817168007618,-2369.7058058510547,0.9148936170212766
9,0.97939453125,0.9934840425531914,-0.0071837115,-0.0022346592,-2279.365361419595,-2341.60779306022,0.9276595744680851
10,0.97763671875,0.9940658244680851,-0.0074597877,-0.0019730828,-2282.1264314488026,-2325.913517935619,0.9361702127659575
11,0.978515625,0.9948304521276595,-0.007573696,-0.0016707358,-2283.263797301726,-2307.7709841913743,0.9361702127659575
12,0.9779296875,0.9949966755319148,-0.008228992,-0.0016259353,-2289.8076385021423,-2305.073835706732,0.8978723404255319
13,0.9783203125,0.9949135638297872,-0.008582032,-0.0015967499,-2293.346646827537,-2303.3313193739236,0.9404255319148936
14,0.9771484375,0.9953291223404256,-0.008772481,-0.0013460944,-2295.2487732572968,-2288.289621035617,0.9191489361702128
15,0.9763671875,0.9942652925531915,-0.009646507,-0.0015463426,-2303.996590131375,-2300.3120732246366,0.9404255319148936
16,0.9787109375,0.9964261968085106,-0.009090167,-0.0010567339,-2298.4331822334257,-2270.9355511604276,0.948936170212766
17,0.97509765625,0.9927692819148937,-0.010660599,-0.0021146105,-2314.146380923166,-2334.4170260647675,0.9234042553191489
18,0.97841796875,0.9964760638297873,-0.009575227,-0.0010628739,-2303.314551206512,-2271.3347080668636,0.9659574468085106
19,0.98017578125,0.9975565159574468,-0.009225089,-0.0006690672,-2299.818999104934,-2247.712137990432,0.9659574468085106
20,0.97734375,0.9941323138297873,-0.01148007,-0.0019246046,-2322.3590099785133,-2323.0345928642555,0.9744680851063829
21,0.97890625,0.9970578457446808,-0.010459857,-0.0009374274,-2312.1552412122905,-2263.8023130506695,0.9744680851063829
22,0.98232421875,0.9995844414893617,-0.008816648,-0.00017946567,-2295.745760668252,-2218.3472201714258,0.9574468085106383
23,0.980078125,0.9988031914893617,-0.009075096,-0.00038175317,-2298.328527483492,-2230.4827556939413,0.9787234042553191
24,0.98203125,0.998969414893617,-0.00909315,-0.000311206,-2298.4832360864034,-2226.224101793801,0.9787234042553191
25,0.97890625,0.9969913563829788,-0.010809524,-0.0009044644,-2315.665415854319,-2261.83804234968,0.9787234042553191
26,0.98125,0.9982380319148936,-0.009921747,-0.00057821476,-2306.7898075195526,-2242.2652179809784,0.9872340425531915
27,0.98203125,0.9993184840425532,-0.008934427,-0.00023538295,-2296.9273878387025,-2221.7060962966493,0.9914893617021276
28,0.98095703125,0.9992686170212766,-0.009982522,-0.0002210178,-2307.417653809254,-2220.8535039526864,0.9787234042553191
29,0.98193359375,0.9996675531914894,-0.009852097,-0.00013233992,-2306.123675599218,-2215.5430977488763,0.9829787234042553
30,0.98037109375,0.9985372340425532,-0.010420033,-0.00040212183,-2311.819097133777,-2231.7460819207645,0.9659574468085106
31,0.979296875,0.9979222074468085,-0.011497258,-0.00061255606,-2322.5966619094415,-2244.377446516375,0.9914893617021276
32,0.98203125,0.9995345744680851,-0.010168728,-0.00015562741,-2309.316718055635,-2216.9670762557084,0.9787234042553191
33,0.98212890625,0.999783909574468,-0.009622363,-7.782779e-5,-2303.8767436261414,-2212.322778057599,0.9872340425531915
34,0.982421875,0.9990691489361702,-0.010581758,-0.0003269746,-2313.4888667466566,-2227.2897624375746,0.9957446808510638
35,0.98125,0.9992852393617021,-0.010554149,-0.00026097606,-2313.2127742173598,-2223.3298491837904,0.9957446808510638
36,0.97998046875,0.9977892287234043,-0.010571213,-0.00058251567,-2313.3974684516043,-2242.6362723151296,0.9531914893617022
37,0.981640625,0.999251994680851,-0.010172534,-0.00023760834,-2309.4140675172475,-2221.945225964513,0.9659574468085106
38,0.98291015625,0.9993683510638298,-0.010116675,-0.00017655105,-2308.837349341149,-2218.2636646487663,0.9957446808510638
39,0.982421875,0.9987533244680851,-0.010732098,-0.00037202227,-2314.976880839938,-2229.9772413288297,0.9744680851063829
40,0.9814453125,0.999185505319149,-0.010063436,-0.0002366543,-2308.2930697840143,-2221.8579663675714,0.9659574468085106
41,0.9814453125,0.9996010638297872,-0.010819357,-0.000118797594,-2315.839329586775,-2214.773619995863,0.9957446808510638
42,0.98193359375,0.9998836436170213,-0.010376044,-5.065304e-5,-2311.3778796463484,-2210.656625059175,0.9957446808510638
43,0.9828125,0.9999168882978723,-0.010727836,-4.2808093e-5,-2314.9017030042532,-2210.191830043209,0.9957446808510638
