epoch,test_acc,train_acc,test_clik,train_clik,test_plik,train_plik,accept_prob
1,0.934765625,0.9361092641843972,-0.022023344,-0.022034202,-2478.1909019568047,-3580.009581766375,0.0
2,0.95263671875,0.9549589982269504,-0.016150454,-0.015321368,-2419.462004862078,-3177.239562235125,0.0
3,0.965625,0.97010195035461,-0.011684798,-0.010181586,-2374.805434427508,-2868.8526603796563,0.0
4,0.9720703125,0.9795434397163121,-0.009160435,-0.0070478343,-2349.5618049719415,-2680.8275138952813,0.0
5,0.97568359375,0.9848404255319149,-0.008031536,-0.00536762,-2338.2728187658868,-2580.014647684344,0.0
6,0.97685546875,0.9881815159574469,-0.007362487,-0.0042080395,-2331.5823280432305,-2510.4398338415704,0.0
7,0.9779296875,0.9904255319148936,-0.0071363244,-0.0034580668,-2329.320700845965,-2465.441466532,0.0
8,0.97822265625,0.9914727393617021,-0.007173882,-0.0029505787,-2329.6962730505547,-2434.992186746844,0.0
9,0.97861328125,0.9924202127659575,-0.0073322076,-0.002513177,-2331.2795326330743,-2408.748076639422,0.0
10,0.979296875,0.99296875,-0.007670086,-0.0022642743,-2334.6583168127618,-2393.8139183142266,0.0
11,0.9734375,0.9901429521276596,-0.009580266,-0.002939909,-2353.7601158239922,-2434.3520042517266,0.0
12,0.97490234375,0.9912400265957447,-0.0093375,-0.002525584,-2351.3324577429375,-2409.492507181414,0.0
13,0.9783203125,0.9947473404255319,-0.008198979,-0.0015791097,-2339.9472496130547,-2352.7040397741875,0.0
14,0.9796875,0.9967420212765957,-0.007824802,-0.0010388296,-2336.2054741003594,-2320.2872306921563,0.0
15,0.9794921875,0.9973071808510638,-0.008058035,-0.0008590031,-2338.537802896746,-2309.497645578631,0.0
16,0.97958984375,0.9957114361702127,-0.009014937,-0.001197079,-2348.1068260290704,-2329.7821952917657,0.0
17,0.98232421875,0.9988863031914894,-0.0074247797,-0.00040760878,-2332.205252847918,-2282.41398354555,0.0
18,0.9826171875,0.9993184840425532,-0.007934976,-0.00028768822,-2337.307219705828,-2275.2187511541924,0.0
19,0.98193359375,0.9994015957446809,-0.008307581,-0.00025526946,-2341.033263407,-2273.2736255743584,0.0
20,0.98251953125,0.9994514627659574,-0.008178574,-0.00022225574,-2339.7432014563165,-2271.2928020575127,0.00425531914893617
21,0.981640625,0.9989527925531915,-0.009385846,-0.00035090084,-2351.815917215594,-2279.011508188494,0.0
22,0.9796875,0.9985704787234042,-0.009912705,-0.0004986133,-2357.0845100500665,-2287.874255380877,0.00425531914893617
23,0.9814453125,0.9986203457446808,-0.008890546,-0.0004365443,-2346.8629142859063,-2284.1501152136407,0.0
24,0.98203125,0.999501329787234,-0.009002977,-0.00021168438,-2347.9872276403985,-2270.6585208990655,0.00425531914893617
25,0.98017578125,0.9983211436170213,-0.010241546,-0.000525117,-2360.3729164221368,-2289.4644767859063,0.02553191489361702
26,0.983203125,0.9987034574468086,-0.009366507,-0.00035599363,-2351.6225273230157,-2279.317074976214,0.00851063829787234
