epoch,test_acc,train_acc,test_clik,train_clik
1,0.865625,0.8586824024822696,-0.054724324,-0.056489617
2,0.88896484375,0.883305629432624,-0.043051623,-0.044760156
3,0.89775390625,0.8953900709219857,-0.037944235,-0.03976821
4,0.91103515625,0.9078235815602836,-0.032948665,-0.03430985
5,0.918359375,0.9159906914893617,-0.030765334,-0.031944774
6,0.92109375,0.9201573581560283,-0.029459255,-0.030509828
7,0.92919921875,0.9295933067375887,-0.027154058,-0.028018806
8,0.93564453125,0.9347905585106383,-0.025188396,-0.025874183
9,0.93427734375,0.9359596631205674,-0.024049524,-0.024661127
10,0.93369140625,0.9362089982269504,-0.02439846,-0.024788355
11,0.94462890625,0.9445367907801419,-0.021903845,-0.022378208
12,0.94404296875,0.9452238475177305,-0.021724887,-0.022153154
13,0.9474609375,0.9474124556737589,-0.020568075,-0.020982321
14,0.94921875,0.9509363918439717,-0.019937048,-0.020195967
15,0.9470703125,0.9498393173758866,-0.020008111,-0.02011281
16,0.95078125,0.9531582446808511,-0.019062234,-0.019192068
17,0.95126953125,0.9544049202127659,-0.019125896,-0.019225229
18,0.95361328125,0.9564162234042554,-0.01839019,-0.01833058
19,0.95517578125,0.9574966755319149,-0.017885176,-0.017738074
20,0.95458984375,0.957529920212766,-0.01776264,-0.017638119
21,0.95634765625,0.9597739361702128,-0.016660172,-0.016516458
22,0.95615234375,0.958876329787234,-0.016760668,-0.016531149
23,0.95634765625,0.9596575797872341,-0.016716339,-0.016313432
24,0.955859375,0.9601396276595745,-0.01634562,-0.016060159
25,0.95537109375,0.9603889627659574,-0.015989335,-0.015550356
26,0.95791015625,0.9616023936170213,-0.015697977,-0.015321311
27,0.9583984375,0.9615857712765957,-0.016017877,-0.01557257
28,0.96044921875,0.9630485372340426,-0.015076301,-0.014660544
29,0.9599609375,0.962782579787234,-0.015051068,-0.014526348
30,0.95830078125,0.9624335106382979,-0.0149617875,-0.014347381
31,0.961328125,0.9646609042553191,-0.014395419,-0.013855022
32,0.9615234375,0.9650764627659575,-0.0141172875,-0.013545073
33,0.96005859375,0.9657746010638298,-0.014417759,-0.013709868
34,0.962109375,0.9657746010638298,-0.0135518825,-0.012822045
35,0.9595703125,0.9653091755319149,-0.013983697,-0.013216045
36,0.9615234375,0.9662732712765958,-0.013635088,-0.012791324
37,0.96162109375,0.9662234042553192,-0.0136423465,-0.012788872
38,0.96376953125,0.9680352393617021,-0.013781708,-0.012863912
39,0.96396484375,0.9681183510638298,-0.013433577,-0.012477231
40,0.964453125,0.9691821808510638,-0.013027593,-0.012031097
41,0.96357421875,0.967935505319149,-0.013055142,-0.0121232085
42,0.9658203125,0.9689494680851064,-0.012399841,-0.011450208
43,0.9634765625,0.9684175531914894,-0.0125432145,-0.011556738
44,0.96552734375,0.9696476063829788,-0.012362542,-0.011404805
45,0.96416015625,0.9687167553191489,-0.012550924,-0.011576845
46,0.96611328125,0.9704953457446809,-0.012441788,-0.011422716
